,Gene,RNA tissue category,RNA TS TPM
1759,CROCC2,Group enriched,fallopian tube: 8.6;spleen: 3.1
1760,CRP,Group enriched,gallbladder: 172.9;liver: 532.1
1761,CRTAC1,Tissue enhanced,cerebral cortex: 51.0;fallopian tube: 63.6;lung: 76.3;seminal vesicle: 48.1
1762,CRTAM,Tissue enhanced,lymph node: 9.8
1763,CRYAA,Tissue enriched,kidney: 12.3
1764,CRYAB,Tissue enhanced,heart muscle: 3968.4
1765,CRYBA2,Tissue enhanced,adrenal gland: 4.6;stomach: 4.6
1766,CRYBA4,Tissue enhanced,epididymis: 1.8
1767,CRYBB1,Tissue enhanced,epididymis: 10.9
1768,CRYBB2,Tissue enhanced,testis: 1.5
1769,CRYBG3,Tissue enhanced,thyroid gland: 45.8
1770,CRYGC,Tissue enriched,testis: 2.6
1771,CRYGD,Tissue enriched,ovary: 21.6
1772,CRYGN,Group enriched,seminal vesicle: 10.2;thyroid gland: 32.3
1773,CRYM,Group enriched,cerebral cortex: 51.1;heart muscle: 47.8;kidney: 28.4;prostate: 24.7;urinary bladder: 14.8
1774,CSAG1,Tissue enhanced,testis: 2.4
1775,CSAG3,Group enriched,lymph node: 1.7;skin: 1.2;spleen: 1.9;testis: 4.2
1776,CSDC2,Tissue enhanced,adrenal gland: 62.5;ovary: 72.0
1777,CSF2,Tissue enhanced,lung: 3.0
1778,CSF2RA,Tissue enhanced,placenta: 93.3
1779,CSF2RB,Tissue enhanced,appendix: 89.7
1780,CSF3,Tissue enhanced,"appendix: 19.1;cervix, uterine: 38.2"
1781,CSF3R,Tissue enhanced,appendix: 211.2;bone marrow: 243.4;placenta: 147.9
1782,CSH1,Tissue enriched,placenta: 13487.0
1783,CSH2,Tissue enriched,placenta: 3932.3
1784,CSHL1,Tissue enriched,placenta: 216.7
1785,CSMD1,Tissue enhanced,cerebral cortex: 6.2;testis: 4.7
1786,CSMD2,Tissue enhanced,cerebral cortex: 2.6;gallbladder: 1.8
1787,CSMD3,Group enriched,cerebral cortex: 4.9;testis: 1.8
1788,CSN1S1,Tissue enriched,breast: 1600.9
1789,CSN2,Tissue enriched,breast: 347.6
1790,CSN3,Tissue enriched,breast: 428.0
1791,CSNK1A1L,Tissue enriched,testis: 6.4
1792,CSNK1G1,Tissue enhanced,testis: 59.9
1793,CSPG5,Tissue enriched,cerebral cortex: 156.7
1794,CSRNP3,Tissue enhanced,cerebral cortex: 16.1
1795,CSRP3,Group enriched,heart muscle: 1501.4;skeletal muscle: 467.9
1796,CST1,Tissue enriched,salivary gland: 9590.6
1797,CST11,Tissue enriched,epididymis: 266.6
1798,CST2,Tissue enriched,salivary gland: 2052.3
1799,CST4,Tissue enriched,salivary gland: 9926.9
1800,CST5,Tissue enriched,salivary gland: 756.2
1801,CST6,Tissue enriched,skin: 213.2
1802,CST7,Tissue enriched,bone marrow: 642.9
1803,CST8,Tissue enriched,testis: 20.7
1804,CST9,Tissue enriched,breast: 2.1
1805,CST9L,Tissue enriched,testis: 108.4
1806,CSTA,Group enriched,esophagus: 3876.3;tonsil: 833.8
1807,CSTB,Tissue enriched,esophagus: 1822.8
1808,CSTL1,Tissue enriched,testis: 4.6
1809,CT45A1,Tissue enriched,testis: 12.5
1810,CT45A10,Tissue enriched,testis: 16.5
1811,CT45A2,Tissue enriched,testis: 1.4
1812,CT45A3,Tissue enriched,testis: 20.5
1813,CT45A5,Tissue enriched,testis: 8.6
1814,CT45A7,Tissue enriched,testis: 1.5
1815,CT45A8,Tissue enriched,testis: 1.2
1816,CT45A9,Tissue enriched,testis: 1.2
1817,CT47A1,Tissue enriched,testis: 1.4
1818,CT47A10,Tissue enriched,testis: 2.0
1819,CT47A11,Tissue enriched,testis: 3.7
1820,CT47A12,Tissue enriched,testis: 2.3
1821,CT47A2,Tissue enriched,testis: 2.0
1822,CT47A3,Tissue enriched,testis: 2.0
1823,CT47A4,Tissue enriched,testis: 2.0
1824,CT47A5,Tissue enriched,testis: 2.0
1825,CT47A8,Tissue enriched,testis: 2.0
1826,CT47A9,Tissue enriched,testis: 2.0
1827,CT47B1,Tissue enriched,testis: 4.4
1828,CT55,Tissue enriched,testis: 6.5
1829,CT62,Tissue enriched,testis: 50.1
1830,CT83,Tissue enriched,testis: 85.3
1831,CTAG1A,Tissue enriched,testis: 4.6
1832,CTAG1B,Tissue enriched,testis: 5.4
1833,CTAG2,Group enriched,fallopian tube: 2.6;heart muscle: 3.2;placenta: 3.6;skeletal muscle: 1.2;testis: 6.0
1834,CTAGE1,Tissue enriched,testis: 5.0
1835,CTAGE15,Tissue enhanced,testis: 7.3
1836,CTAGE4,Tissue enhanced,thyroid gland: 16.4
1837,CTAGE6,Tissue enriched,testis: 9.9
1838,CTAGE8,Tissue enhanced,thyroid gland: 11.4
1839,CTAGE9,Tissue enriched,testis: 7.6
1840,CTB-102L5.4,Tissue enhanced,salivary gland: 5.5
1841,CTB-133G6.1,Tissue enhanced,lymph node: 22.3;spleen: 16.5
1842,CTB-60B18.10,Tissue enhanced,pancreas: 1.7;testis: 1.3
1843,CTC-273B12.7,Tissue enhanced,colon: 1.1;endometrium: 1.3;testis: 2.8
1844,CTC-295J13.3,Tissue enhanced,epididymis: 1.2
1845,CTC-441N14.4,Tissue enriched,testis: 53.8
1846,CTC-479C5.6,Group enriched,placenta: 1.2;testis: 3.1
1847,CTCFL,Tissue enriched,testis: 20.6
1848,CTD-2116N17.1,Tissue enhanced,lymph node: 31.6;tonsil: 21.4
1849,CTD-2192J16.24,Tissue enhanced,lymph node: 1.9
1850,CTD-2200P10.1,Tissue enriched,testis: 13.5
1851,CTD-2207O23.12,Tissue enhanced,cerebral cortex: 5.6;skeletal muscle: 4.6
1852,CTD-2207O23.3,Tissue enhanced,lymph node: 17.2
1853,CTD-2313N18.7,Tissue enriched,epididymis: 86.1
1854,CTD-2370N5.3,Tissue enhanced,appendix: 5.1
1855,CTD-2410N18.5,Tissue enhanced,cerebral cortex: 1.3
1856,CTD-2545M3.6,Tissue enhanced,appendix: 1.3;spleen: 1.8
1857,CTD-2568A17.1,Tissue enriched,testis: 108.1
1858,CTD-2575K13.6,Tissue enhanced,lymph node: 3.4
1859,CTD-2659N19.11,Tissue enhanced,skin: 1.2;testis: 1.6
1860,CTD-3088G3.8,Tissue enhanced,appendix: 5.3;skin: 4.3
1861,CTD-3214H19.16,Tissue enhanced,bone marrow: 14.1;lung: 11.8
1862,CTHRC1,Tissue enhanced,gallbladder: 137.8;placenta: 125.5;urinary bladder: 100.0
1863,CTLA4,Tissue enhanced,appendix: 23.5;lymph node: 31.9
1864,CTNNA2,Group enriched,cerebral cortex: 111.6;epididymis: 81.5;testis: 32.2
1865,CTNNA3,Tissue enhanced,cerebral cortex: 8.5;heart muscle: 12.4
1866,CTNND2,Tissue enriched,cerebral cortex: 103.2
1867,CTRB1,Tissue enriched,pancreas: 48923.8
1868,CTRB2,Tissue enriched,pancreas: 29060.0
1869,CTRC,Tissue enriched,pancreas: 18186.4
1870,CTRL,Tissue enriched,pancreas: 1629.9
1871,CTSE,Group enriched,duodenum: 229.1;stomach: 1121.8
1872,CTSG,Tissue enriched,bone marrow: 3457.0
1873,CTSV,Tissue enhanced,"cervix, uterine: 69.3;skin: 64.2;testis: 131.8"
1874,CTSW,Tissue enhanced,bone marrow: 70.6;spleen: 60.4
1875,CTXN1,Tissue enhanced,cerebral cortex: 100.4
1876,CTXN2,Group enriched,cerebral cortex: 1.9;testis: 1.5
1877,CTXN3,Tissue enriched,kidney: 78.6
1878,CUBN,Group enriched,kidney: 153.7;small intestine: 54.4
1879,CUX2,Tissue enhanced,cerebral cortex: 12.2;liver: 9.6;prostate: 18.0
1880,CUZD1,Tissue enriched,pancreas: 380.6
1881,CWH43,Tissue enhanced,prostate: 67.5
1882,CX3CL1,Tissue enhanced,cerebral cortex: 100.1
1883,CX3CR1,Tissue enhanced,cerebral cortex: 59.2
1884,CXCL1,Tissue enhanced,"cervix, uterine: 178.6;spleen: 112.8"
1885,CXCL10,Tissue enhanced,appendix: 129.4
1886,CXCL11,Tissue enhanced,appendix: 13.5
1887,CXCL13,Group enriched,appendix: 163.3;lymph node: 599.9;spleen: 423.8;tonsil: 395.7
1888,CXCL14,Tissue enhanced,skin: 874.5
1889,CXCL17,Tissue enhanced,lung: 193.5;stomach: 289.7
1890,CXCL2,Tissue enhanced,liver: 110.2
1891,CXCL3,Tissue enhanced,"adipose tissue: 26.9;cervix, uterine: 33.6"
1892,CXCL5,Tissue enhanced,appendix: 47.7
1893,CXCL6,Tissue enhanced,gallbladder: 50.3;spleen: 112.9
1894,CXCL8,Tissue enriched,bone marrow: 2076.0
1895,CXCL9,Tissue enhanced,lymph node: 327.4
1896,CXCR1,Tissue enhanced,appendix: 35.1;spleen: 25.0
1897,CXCR2,Tissue enhanced,appendix: 55.7;spleen: 36.7
1898,CXCR3,Tissue enhanced,lymph node: 17.9
1899,CXCR4,Tissue enhanced,bone marrow: 771.6
1900,CXCR5,Tissue enhanced,appendix: 14.5;lymph node: 32.5;spleen: 21.0;tonsil: 14.3
1901,CXorf36,Tissue enhanced,placenta: 58.4
1902,CXorf49,Tissue enriched,testis: 2.6
1903,CXorf49B,Tissue enriched,testis: 2.6
1904,CXorf51B,Tissue enriched,testis: 109.1
1905,CXorf58,Tissue enriched,testis: 6.2
1906,CXorf65,Tissue enriched,testis: 19.6
1907,CXorf66,Tissue enriched,testis: 24.3
1908,CXorf67,Group enriched,placenta: 1.3;testis: 4.7
1909,CXXC4,Tissue enhanced,cerebral cortex: 8.9
1910,CYB5R2,Tissue enhanced,testis: 227.5
1911,CYBB,Tissue enhanced,appendix: 215.6
1912,CYLC1,Tissue enriched,testis: 42.9
1913,CYLC2,Tissue enriched,testis: 80.1
1914,CYP11A1,Tissue enriched,adrenal gland: 748.5
1915,CYP11B1,Tissue enriched,adrenal gland: 1871.2
1916,CYP11B2,Tissue enriched,adrenal gland: 126.3
1917,CYP17A1,Tissue enriched,adrenal gland: 3751.4
1918,CYP19A1,Tissue enriched,placenta: 174.5
1919,CYP1A1,Group enriched,liver: 33.9;small intestine: 20.5;urinary bladder: 80.8
1920,CYP1A2,Tissue enriched,liver: 268.6
1921,CYP21A2,Tissue enriched,adrenal gland: 266.4
1922,CYP24A1,Tissue enhanced,endometrium: 24.8;urinary bladder: 50.8
1923,CYP26A1,Tissue enriched,liver: 9.7
1924,CYP26B1,Tissue enhanced,testis: 27.1
1925,CYP27A1,Tissue enhanced,liver: 279.5
1926,CYP27B1,Tissue enhanced,kidney: 4.3;thyroid gland: 3.9
1927,CYP27C1,Tissue enhanced,skin: 6.8
1928,CYP2A6,Tissue enriched,liver: 839.4
1929,CYP2A7,Tissue enriched,liver: 60.9
1930,CYP2B6,Tissue enriched,liver: 283.3
1931,CYP2C18,Group enriched,duodenum: 103.1;esophagus: 24.6;gallbladder: 24.5;liver: 97.8;small intestine: 88.1;stomach: 62.2
1932,CYP2C19,Tissue enhanced,duodenum: 48.3;liver: 125.6
1933,CYP2C8,Tissue enriched,liver: 1124.1
1934,CYP2C9,Tissue enriched,liver: 963.1
1935,CYP2D6,Group enriched,duodenum: 3.7;liver: 10.0;small intestine: 13.0
1936,CYP2E1,Tissue enriched,liver: 5332.2
1937,CYP2F1,Group enriched,lung: 2.4;testis: 1.9
1938,CYP2J2,Tissue enhanced,liver: 74.4;small intestine: 92.3
1939,CYP2S1,Tissue enhanced,duodenum: 96.7;small intestine: 68.6;stomach: 111.7
1940,CYP2W1,Tissue enhanced,adrenal gland: 5.5;duodenum: 6.2;skin: 9.7
1941,CYP39A1,Tissue enhanced,liver: 56.8
1942,CYP3A4,Group enriched,duodenum: 826.8;liver: 2451.8;small intestine: 971.1
1943,CYP3A43,Tissue enriched,liver: 22.7
1944,CYP3A5,Tissue enhanced,duodenum: 114.8;liver: 93.2;small intestine: 187.6
1945,CYP3A7,Tissue enriched,liver: 143.3
1946,CYP3A7-CYP3A51P,Tissue enhanced,liver: 7.4
1947,CYP46A1,Tissue enriched,cerebral cortex: 64.1
1948,CYP4A11,Group enriched,kidney: 232.3;liver: 448.3
1949,CYP4A22,Group enriched,kidney: 33.5;liver: 109.1
1950,CYP4B1,Tissue enhanced,lung: 382.2
1951,CYP4F11,Tissue enhanced,gallbladder: 29.5;liver: 32.7;small intestine: 26.3
1952,CYP4F12,Tissue enhanced,duodenum: 36.2;small intestine: 42.3
1953,CYP4F2,Group enriched,duodenum: 78.2;epididymis: 28.0;kidney: 39.3;liver: 84.6;small intestine: 84.3
1954,CYP4F22,Tissue enhanced,esophagus: 14.0;skin: 34.3
1955,CYP4F3,Tissue enhanced,bone marrow: 53.1;liver: 98.0
1956,CYP4F8,Tissue enriched,seminal vesicle: 147.7
1957,CYP4V2,Tissue enhanced,parathyroid gland: 65.1
1958,CYP4X1,Tissue enhanced,"cervix, uterine: 52.7"
1959,CYP4Z1,Tissue enhanced,breast: 6.9
1960,CYP7A1,Tissue enriched,liver: 26.0
1961,CYP7B1,Tissue enhanced,parathyroid gland: 40.3
1962,CYP8B1,Tissue enriched,liver: 190.6
1963,CYS1,Tissue enriched,kidney: 101.2
1964,CYSLTR2,Tissue enhanced,placenta: 36.7;seminal vesicle: 25.0
1965,CYSRT1,Tissue enhanced,esophagus: 45.6;skin: 12.2
1966,CYTH4,Tissue enhanced,appendix: 89.2
1967,CYTIP,Tissue enhanced,lymph node: 101.8;tonsil: 102.0
1968,CYTL1,Tissue enhanced,placenta: 64.9
1969,DAB1,Tissue enhanced,duodenum: 15.9;seminal vesicle: 13.8;small intestine: 24.8
1970,DACH2,Group enriched,cerebral cortex: 11.9;epididymis: 4.4;fallopian tube: 5.0
1971,DACT2,Tissue enhanced,placenta: 18.8
1972,DAGLA,Tissue enriched,cerebral cortex: 18.6
1973,DAND5,Tissue enhanced,heart muscle: 5.2
1974,DAO,Group enriched,kidney: 89.8;liver: 74.1
1975,DAPK2,Tissue enhanced,thyroid gland: 49.1
1976,DAPL1,Tissue enhanced,epididymis: 238.2;esophagus: 243.7;skin: 219.0
1977,DAW1,Group enriched,fallopian tube: 51.4;testis: 92.1
1978,DAZ1,Tissue enhanced,testis: 1.7
1979,DAZ2,Group enriched,stomach: 15.5;testis: 7.2
1980,DAZ3,Tissue enriched,testis: 1.0
1981,DAZ4,Group enriched,stomach: 22.3;testis: 21.5
1982,DAZL,Tissue enriched,testis: 141.6
1983,DBF4,Tissue enriched,testis: 21.4
1984,DBH,Tissue enriched,adrenal gland: 356.8
1985,DBNDD1,Tissue enhanced,cerebral cortex: 24.0
1986,DBX2,Group enriched,cerebral cortex: 4.1;testis: 1.2
1987,DCAF12L1,Tissue enhanced,epididymis: 5.9;testis: 11.4
1988,DCAF12L2,Tissue enhanced,epididymis: 28.3;testis: 9.8
1989,DCAF4L1,Tissue enriched,testis: 45.7
1990,DCAF4L2,Tissue enriched,testis: 38.9
1991,DCAF8L1,Tissue enriched,testis: 5.5
1992,DCAF8L2,Tissue enriched,testis: 40.5
1993,DCC,Tissue enhanced,cerebral cortex: 3.7;testis: 13.5
1994,DCD,Tissue enriched,breast: 336.4
1995,DCDC1,Tissue enhanced,fallopian tube: 6.6;testis: 4.2
1996,DCDC2,Tissue enhanced,kidney: 23.2
1997,DCDC2B,Tissue enriched,fallopian tube: 44.3
1998,DCDC2C,Tissue enriched,testis: 5.9
1999,DCHS2,Tissue enhanced,endometrium: 1.9
2000,DCLK1,Tissue enriched,cerebral cortex: 140.5
2001,DCLK2,Tissue enriched,cerebral cortex: 82.6
2002,DCLK3,Tissue enhanced,testis: 4.9
2003,DCST1,Group enriched,skin: 3.7;testis: 6.1
2004,DCST2,Tissue enhanced,skin: 5.0;testis: 4.2
2005,DCSTAMP,Group enriched,epididymis: 2.4;lung: 5.6
2006,DCT,Tissue enriched,skin: 126.8
2007,DCUN1D1,Tissue enriched,testis: 391.8
2008,DCX,Tissue enhanced,cerebral cortex: 10.6
2009,DCXR,Group enriched,epididymis: 297.5;kidney: 217.3;liver: 640.9;prostate: 137.5
2010,DDC,Tissue enhanced,duodenum: 155.2;kidney: 320.9;small intestine: 180.5
2011,DDHD1,Tissue enhanced,testis: 34.2
2012,DDI1,Tissue enriched,testis: 28.2
2013,DDIAS,Tissue enhanced,testis: 20.0
2014,DDIT4L,Tissue enhanced,skeletal muscle: 113.3
2015,DDN,Group enriched,cerebral cortex: 96.0;skeletal muscle: 46.6
2016,DDO,Tissue enhanced,parathyroid gland: 24.3
2017,DDX20,Tissue enriched,testis: 130.7
2018,DDX24,Tissue enhanced,epididymis: 45.3
2019,DDX25,Group enriched,cerebral cortex: 34.6;testis: 163.8
2020,DDX3Y,Tissue enhanced,testis: 128.6
2021,DDX4,Tissue enriched,testis: 270.5
2022,DDX43,Tissue enriched,testis: 34.6
2023,DDX53,Tissue enriched,testis: 10.0
2024,DEFA1,Tissue enriched,bone marrow: 30312.0
2025,DEFA1B,Tissue enriched,bone marrow: 46364.0
2026,DEFA3,Tissue enriched,bone marrow: 23273.5
2027,DEFA4,Tissue enriched,bone marrow: 3105.2
2028,DEFA5,Group enriched,duodenum: 10677.9;small intestine: 19102.0
2029,DEFA6,Group enriched,duodenum: 5743.0;small intestine: 10524.2
2030,DEFB1,Tissue enhanced,"cervix, uterine: 618.9;kidney: 1500.2"
2031,DEFB103A,Tissue enhanced,tonsil: 2.1
2032,DEFB103B,Tissue enhanced,tonsil: 2.1
2033,DEFB104A,Tissue enriched,epididymis: 581.5
2034,DEFB104B,Tissue enriched,epididymis: 581.5
2035,DEFB105A,Tissue enriched,epididymis: 2275.4
2036,DEFB105B,Tissue enriched,epididymis: 1850.5
2037,DEFB106B,Tissue enriched,epididymis: 2094.6
2038,DEFB107A,Tissue enriched,epididymis: 488.6
2039,DEFB107B,Tissue enriched,epididymis: 488.6
2040,DEFB110,Tissue enriched,epididymis: 1094.2
2041,DEFB112,Tissue enriched,epididymis: 172.5
2042,DEFB113,Tissue enriched,epididymis: 56.8
2043,DEFB114,Tissue enriched,epididymis: 73.3
2044,DEFB115,Tissue enriched,epididymis: 1.3
2045,DEFB118,Tissue enriched,epididymis: 1229.5
2046,DEFB119,Group enriched,epididymis: 2335.6;testis: 472.8
2047,DEFB121,Tissue enriched,epididymis: 2005.4
2048,DEFB123,Group enriched,epididymis: 108.1;testis: 178.0
2049,DEFB124,Tissue enhanced,fallopian tube: 8.9;testis: 5.7
2050,DEFB125,Group enriched,epididymis: 1.3;seminal vesicle: 1.5
2051,DEFB126,Tissue enriched,epididymis: 663.6
2052,DEFB127,Tissue enriched,epididymis: 1399.7
2053,DEFB128,Tissue enriched,epididymis: 1713.4
2054,DEFB129,Tissue enriched,epididymis: 2368.3
2055,DEFB130,Tissue enriched,epididymis: 4.7
2056,DEFB131,Tissue enriched,epididymis: 207.2
2057,DEFB132,Tissue enriched,epididymis: 332.3
2058,DEFB133,Tissue enriched,epididymis: 15.7
2059,DEFB134,Tissue enriched,epididymis: 36.9
2060,DEFB135,Tissue enriched,epididymis: 84.8
2061,DEFB136,Tissue enriched,epididymis: 3.8
2062,DEFB4A,Group enriched,esophagus: 6.0;gallbladder: 10.4;tonsil: 12.3
2063,DEFB4B,Tissue enriched,tonsil: 2.7
2064,DEGS2,Tissue enhanced,skin: 31.4;small intestine: 38.7
2065,DENND1C,Tissue enhanced,appendix: 28.2;lymph node: 37.1;spleen: 31.7
2066,DENND2C,Tissue enhanced,esophagus: 19.5;skeletal muscle: 14.3;skin: 14.8
2067,DENND2D,Tissue enhanced,lymph node: 110.8
2068,DENND6B,Tissue enhanced,fallopian tube: 21.5
2069,DEPDC1,Tissue enhanced,testis: 14.5
2070,DEPDC1B,Tissue enhanced,gallbladder: 33.0;testis: 22.6
2071,DEPDC4,Tissue enhanced,testis: 7.2
2072,DEPDC7,Tissue enhanced,liver: 37.6;testis: 50.7
2073,DES,Tissue enhanced,heart muscle: 4151.2;skeletal muscle: 5462.0;smooth muscle: 3601.2
2074,DEUP1,Group enriched,fallopian tube: 7.6;testis: 29.8
2075,DFNB59,Tissue enriched,testis: 32.4
2076,DGAT1,Tissue enhanced,duodenum: 71.3;small intestine: 75.1
2077,DGAT2,Tissue enhanced,adipose tissue: 493.2;liver: 170.9
2078,DGAT2L6,Group enriched,breast: 2.8;skin: 1.6
2079,DGCR6,Tissue enhanced,cerebral cortex: 11.7
2080,DGKB,Tissue enriched,cerebral cortex: 34.2
2081,DGKG,Tissue enhanced,cerebral cortex: 21.4
2082,DGKI,Group enriched,cerebral cortex: 9.3;thyroid gland: 33.0
2083,DGKK,Tissue enriched,adrenal gland: 4.5
2084,DHDH,Group enriched,duodenum: 10.2;kidney: 17.8;prostate: 5.1;small intestine: 18.6
2085,DHH,Tissue enriched,testis: 20.7
2086,DHRS11,Group enriched,colon: 44.6;duodenum: 149.5;rectum: 47.1;small intestine: 133.6
2087,DHRS2,Group enriched,breast: 436.3;urinary bladder: 339.0
2088,DHRS7C,Group enriched,heart muscle: 62.4;skeletal muscle: 122.7
2089,DHRS9,Tissue enhanced,colon: 66.5;rectum: 48.1
2090,DIAPH3,Tissue enriched,testis: 34.0
2091,DIO1,Group enriched,kidney: 147.5;liver: 94.9;thyroid gland: 434.9
2092,DIO2,Group enriched,"cervix, uterine: 269.4;thyroid gland: 601.2"
2093,DIO3,Tissue enhanced,"cervix, uterine: 27.8;placenta: 25.4"
2094,DIRAS1,Tissue enhanced,cerebral cortex: 70.9;heart muscle: 42.5
2095,DIRAS2,Tissue enriched,cerebral cortex: 128.3
2096,DIRAS3,Tissue enhanced,ovary: 57.2
2097,DIRC3,Tissue enhanced,parathyroid gland: 1.3
2098,DISP2,Tissue enhanced,cerebral cortex: 7.4
2099,DISP3,Group enriched,cerebral cortex: 8.6;testis: 4.3
2100,DKK1,Tissue enhanced,"cervix, uterine: 56.5;placenta: 71.9"
2101,DKK2,Tissue enhanced,"cervix, uterine: 24.1"
2102,DKK3,Tissue enhanced,cerebral cortex: 373.5;heart muscle: 805.5
2103,DKK4,Tissue enhanced,duodenum: 2.4;esophagus: 5.4;testis: 2.7
2104,DKKL1,Tissue enriched,testis: 265.5
2105,DLEC1,Tissue enhanced,fallopian tube: 29.7;testis: 17.3
2106,DLEU7,Tissue enriched,cerebral cortex: 6.3
2107,DLG2,Tissue enhanced,cerebral cortex: 72.8
2108,DLG4,Tissue enriched,cerebral cortex: 178.6
2109,DLGAP1,Tissue enriched,cerebral cortex: 91.2
2110,DLGAP2,Group enriched,cerebral cortex: 2.0;testis: 6.1
2111,DLGAP3,Group enriched,cerebral cortex: 21.9;testis: 5.7
2112,DLGAP5,Tissue enhanced,testis: 29.8
2113,DLK1,Group enriched,adrenal gland: 1591.0;placenta: 2331.6
2114,DLK2,Tissue enhanced,prostate: 9.3;skin: 14.5
2115,DLL3,Tissue enriched,cerebral cortex: 51.3
2116,DLL4,Tissue enhanced,placenta: 28.6
2117,DLX1,Tissue enhanced,adrenal gland: 1.6;cerebral cortex: 5.0
2118,DLX3,Group enriched,placenta: 10.7;skin: 21.9
2119,DLX4,Tissue enhanced,placenta: 5.4
2120,DLX5,Tissue enhanced,endometrium: 20.2;placenta: 13.5;skin: 17.1
2121,DLX6,Tissue enhanced,endometrium: 4.4;placenta: 4.3;testis: 5.4
2122,DMBT1,Tissue enhanced,duodenum: 816.7;small intestine: 277.6
2123,DMBX1,Tissue enhanced,testis: 1.2
2124,DMC1,Tissue enriched,testis: 22.0
2125,DMGDH,Group enriched,kidney: 179.1;liver: 146.2
2126,DMKN,Tissue enriched,skin: 3991.5
2127,DMRT1,Tissue enriched,testis: 50.7
2128,DMRT2,Tissue enriched,parathyroid gland: 108.9
2129,DMRT3,Tissue enriched,parathyroid gland: 65.3
2130,DMRTA1,Tissue enhanced,parathyroid gland: 6.5
2131,DMRTB1,Tissue enriched,testis: 69.6
2132,DMRTC1,Tissue enhanced,cerebral cortex: 2.3
2133,DMRTC1B,Tissue enhanced,cerebral cortex: 16.6
2134,DMRTC2,Tissue enriched,testis: 48.6
2135,DNAAF1,Group enriched,fallopian tube: 36.3;testis: 82.6
2136,DNAAF3,Group enriched,fallopian tube: 69.1;testis: 67.9
2137,DNAH10,Group enriched,fallopian tube: 5.6;testis: 5.6
2138,DNAH10OS,Tissue enhanced,cerebral cortex: 4.0
2139,DNAH11,Tissue enriched,parathyroid gland: 145.0
2140,DNAH12,Tissue enhanced,fallopian tube: 16.3;testis: 11.1
2141,DNAH14,Tissue enhanced,testis: 21.9
2142,DNAH17,Tissue enriched,testis: 10.3
2143,DNAH2,Group enriched,fallopian tube: 20.9;parathyroid gland: 28.4;testis: 10.9
2144,DNAH3,Group enriched,fallopian tube: 8.1;testis: 6.0
2145,DNAH5,Tissue enhanced,fallopian tube: 6.2;lung: 2.6
2146,DNAH6,Tissue enhanced,fallopian tube: 8.7;testis: 4.9
2147,DNAH7,Tissue enhanced,fallopian tube: 15.6;testis: 18.1
2148,DNAH8,Tissue enhanced,testis: 14.3
2149,DNAH9,Tissue enriched,fallopian tube: 56.4
2150,DNAI1,Group enriched,fallopian tube: 54.3;testis: 61.2
2151,DNAI2,Group enriched,fallopian tube: 48.0;testis: 27.7
2152,DNAJB13,Group enriched,fallopian tube: 76.0;testis: 19.1
2153,DNAJB7,Tissue enriched,testis: 10.9
2154,DNAJB8,Tissue enriched,testis: 30.5
2155,DNAJC12,Tissue enhanced,adrenal gland: 57.7
2156,DNAJC18,Group enriched,cerebral cortex: 30.2;testis: 115.6
2157,DNAJC25,Tissue enhanced,liver: 16.7
2158,DNAJC27,Tissue enhanced,testis: 39.5
2159,DNAJC28,Tissue enhanced,testis: 8.2
2160,DNAJC5B,Tissue enriched,testis: 114.3
2161,DNAJC5G,Group enriched,epididymis: 65.0;testis: 42.7
2162,DNAJC6,Tissue enriched,cerebral cortex: 162.8
2163,DNALI1,Tissue enhanced,fallopian tube: 86.2
2164,DNASE1,Tissue enhanced,small intestine: 37.8
2165,DNASE1L2,Tissue enriched,skin: 11.9
2166,DNASE1L3,Tissue enhanced,liver: 136.7;spleen: 316.5
2167,DNASE2B,Tissue enriched,salivary gland: 73.0
2168,DND1,Tissue enriched,testis: 9.8
2169,DNER,Group enriched,adrenal gland: 74.6;cerebral cortex: 176.0
2170,DNHD1,Tissue enriched,testis: 19.5
2171,DNM1,Tissue enriched,cerebral cortex: 364.2
2172,DNM3,Tissue enhanced,cerebral cortex: 41.1
