,Gene,RNA tissue category,RNA TS TPM
7235,TMEM212,Tissue enriched,fallopian tube: 48.3
7236,TMEM213,Group enriched,kidney: 80.7;salivary gland: 22.6
7237,TMEM215,Group enriched,"cervix, uterine: 1.0;endometrium: 4.8;testis: 4.2;thyroid gland: 1.8"
7238,TMEM217,Tissue enriched,testis: 14.2
7239,TMEM221,Tissue enhanced,parathyroid gland: 6.8
7240,TMEM225,Tissue enriched,testis: 39.8
7241,TMEM229A,Tissue enhanced,cerebral cortex: 7.1;duodenum: 8.6;testis: 10.4
7242,TMEM231,Tissue enriched,fallopian tube: 77.5
7243,TMEM232,Tissue enhanced,fallopian tube: 26.4;testis: 35.5
7244,TMEM233,Group enriched,cerebral cortex: 16.2;skeletal muscle: 11.5;thyroid gland: 21.4
7245,TMEM235,Tissue enriched,cerebral cortex: 15.6
7246,TMEM236,Group enriched,colon: 14.4;duodenum: 22.1;rectum: 15.5;small intestine: 37.7
7247,TMEM238,Tissue enhanced,small intestine: 10.0;stomach: 9.9
7248,TMEM239,Tissue enriched,testis: 38.9
7249,TMEM240,Tissue enhanced,cerebral cortex: 18.6
7250,TMEM244,Tissue enhanced,cerebral cortex: 1.7
7251,TMEM247,Tissue enriched,testis: 35.7
7252,TMEM249,Tissue enriched,testis: 9.3
7253,TMEM252,Tissue enhanced,kidney: 37.5;small intestine: 25.7
7254,TMEM253,Group enriched,duodenum: 101.3;small intestine: 100.0
7255,TMEM255A,Tissue enhanced,ovary: 23.5
7256,TMEM257,Tissue enriched,cerebral cortex: 4.2
7257,TMEM26,Tissue enhanced,spleen: 11.8
7258,TMEM260,Tissue enhanced,"cervix, uterine: 63.5"
7259,TMEM262,Tissue enriched,testis: 13.6
7260,TMEM266,Tissue enhanced,cerebral cortex: 1.9;skeletal muscle: 1.5
7261,TMEM27,Tissue enriched,kidney: 422.0
7262,TMEM31,Tissue enriched,testis: 85.3
7263,TMEM35A,Tissue enhanced,cerebral cortex: 42.4;seminal vesicle: 65.5
7264,TMEM38A,Tissue enriched,skeletal muscle: 199.7
7265,TMEM40,Group enriched,esophagus: 88.8;placenta: 23.3;skin: 55.5;tonsil: 23.7
7266,TMEM45A,Tissue enriched,skin: 563.0
7267,TMEM45B,Tissue enhanced,duodenum: 136.2;small intestine: 139.1
7268,TMEM52,Tissue enhanced,pancreas: 38.8;skeletal muscle: 105.7
7269,TMEM52B,Tissue enriched,kidney: 183.5
7270,TMEM56,Tissue enhanced,liver: 66.1
7271,TMEM59L,Tissue enriched,cerebral cortex: 366.3
7272,TMEM61,Tissue enhanced,parathyroid gland: 11.2;salivary gland: 10.1
7273,TMEM63C,Tissue enhanced,adrenal gland: 12.9;cerebral cortex: 18.5;testis: 13.8
7274,TMEM67,Tissue enhanced,fallopian tube: 21.5
7275,TMEM72,Tissue enriched,kidney: 54.3
7276,TMEM74,Tissue enhanced,cerebral cortex: 6.2
7277,TMEM79,Group enriched,esophagus: 61.6;prostate: 45.5;skin: 66.8
7278,TMEM82,Tissue enhanced,duodenum: 23.0;liver: 9.0;small intestine: 19.4
7279,TMEM88B,Tissue enriched,cerebral cortex: 11.8
7280,TMEM89,Tissue enriched,testis: 9.4
7281,TMEM92,Tissue enhanced,duodenum: 40.2;small intestine: 50.6
7282,TMEM95,Tissue enriched,testis: 9.9
7283,TMEM99,Tissue enhanced,testis: 177.0
7284,TMIE,Tissue enhanced,adrenal gland: 7.4;cerebral cortex: 5.2
7285,TMIGD1,Group enriched,colon: 81.8;rectum: 109.8;small intestine: 162.9
7286,TMIGD2,Tissue enhanced,lymph node: 7.4
7287,TMIGD3,Tissue enriched,testis: 99.0
7288,TMOD2,Tissue enriched,cerebral cortex: 111.0
7289,TMOD4,Tissue enriched,skeletal muscle: 378.9
7290,TMPRSS11A,Group enriched,esophagus: 96.0;tonsil: 26.0
7291,TMPRSS11B,Group enriched,esophagus: 311.6;tonsil: 74.5
7292,TMPRSS11D,Group enriched,esophagus: 70.5;tonsil: 30.6
7293,TMPRSS11E,Tissue enriched,esophagus: 128.2
7294,TMPRSS11F,Group enriched,esophagus: 16.7;skin: 11.0;tonsil: 3.7
7295,TMPRSS12,Tissue enriched,testis: 39.5
7296,TMPRSS13,Tissue enhanced,skin: 36.4
7297,TMPRSS15,Tissue enriched,duodenum: 1010.9
7298,TMPRSS2,Tissue enhanced,prostate: 489.3
7299,TMPRSS3,Tissue enhanced,fallopian tube: 35.2
7300,TMPRSS4,Tissue enhanced,rectum: 77.1;urinary bladder: 77.3
7301,TMPRSS4-AS1,Tissue enhanced,kidney: 1.2
7302,TMPRSS5,Tissue enhanced,cerebral cortex: 10.1
7303,TMPRSS6,Group enriched,liver: 40.8;testis: 8.6
7304,TMPRSS7,Tissue enhanced,testis: 2.5
7305,TMPRSS9,Tissue enhanced,spleen: 2.3;testis: 1.7
7306,TMSB15A,Tissue enhanced,prostate: 22.5
7307,TMTC1,Tissue enhanced,spleen: 60.8
7308,TNC,Tissue enhanced,appendix: 239.3;smooth muscle: 528.9
7309,TNF,Tissue enhanced,bone marrow: 3.7
7310,TNFAIP6,Tissue enhanced,appendix: 38.7;gallbladder: 31.8
7311,TNFAIP8L1,Tissue enhanced,fallopian tube: 37.1
7312,TNFAIP8L2,Tissue enhanced,lymph node: 34.7;spleen: 39.1
7313,TNFAIP8L3,Tissue enhanced,endometrium: 137.0;smooth muscle: 122.3
7314,TNFRSF10C,Tissue enhanced,appendix: 21.9
7315,TNFRSF11A,Tissue enhanced,duodenum: 30.6
7316,TNFRSF11B,Tissue enriched,thyroid gland: 140.4
7317,TNFRSF13B,Tissue enhanced,lymph node: 20.3;skeletal muscle: 22.1;spleen: 27.2;tonsil: 21.0
7318,TNFRSF13C,Group enriched,appendix: 22.9;lymph node: 46.1;spleen: 43.5;tonsil: 49.9
7319,TNFRSF17,Tissue enhanced,tonsil: 36.7
7320,TNFRSF18,Tissue enhanced,skin: 43.3
7321,TNFRSF19,Tissue enhanced,skin: 128.9
7322,TNFRSF1B,Tissue enhanced,appendix: 100.4
7323,TNFRSF25,Tissue enhanced,skin: 29.6
7324,TNFRSF4,Tissue enhanced,adipose tissue: 9.7;appendix: 8.3
7325,TNFRSF6B,Tissue enriched,appendix: 19.0
7326,TNFRSF8,Tissue enhanced,appendix: 4.1
7327,TNFRSF9,Tissue enhanced,lymph node: 11.1;tonsil: 7.0
7328,TNFSF11,Tissue enhanced,lymph node: 17.3
7329,TNFSF18,Tissue enhanced,cerebral cortex: 2.8;gallbladder: 3.0
7330,TNFSF4,Tissue enhanced,testis: 7.5
7331,TNFSF8,Tissue enhanced,lymph node: 34.4;tonsil: 26.7
7332,TNIP3,Tissue enhanced,appendix: 8.8
7333,TNMD,Tissue enhanced,adipose tissue: 10.1;seminal vesicle: 33.2
7334,TNN,Tissue enhanced,adipose tissue: 12.4
7335,TNNC1,Group enriched,heart muscle: 4938.6;skeletal muscle: 7104.7
7336,TNNC2,Tissue enriched,skeletal muscle: 9898.9
7337,TNNI1,Tissue enriched,skeletal muscle: 4420.6
7338,TNNI2,Tissue enriched,skeletal muscle: 5537.1
7339,TNNI3,Tissue enriched,heart muscle: 3607.1
7340,TNNI3K,Tissue enriched,heart muscle: 39.5
7341,TNNT1,Tissue enriched,skeletal muscle: 7568.7
7342,TNNT2,Tissue enriched,heart muscle: 5120.1
7343,TNNT3,Tissue enriched,skeletal muscle: 9522.9
7344,TNP1,Tissue enriched,testis: 4403.1
7345,TNP2,Tissue enriched,testis: 38.6
7346,TNR,Tissue enriched,cerebral cortex: 70.6
7347,TNS4,Tissue enhanced,skin: 66.6
7348,TNXB,Tissue enhanced,adrenal gland: 91.6
7349,TOGARAM2,Tissue enriched,fallopian tube: 13.7
7350,TOMM20L,Tissue enriched,testis: 13.1
7351,TOP2A,Tissue enhanced,testis: 108.5
7352,TOPAZ1,Tissue enriched,testis: 6.5
7353,TP53AIP1,Tissue enhanced,esophagus: 6.3;skin: 22.2
7354,TP53TG3B,Tissue enriched,epididymis: 22.3
